C_a,policy,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
1.0,CS_EpsilonGreedy,5,81.8,2.6832815729997477,78663.4,1831.3318377617957,6671.6,1831.3318377617968,26.2,2.6832815729997477,0.012690421968007477,0.002689178463303245,0.7574074074074074,0.02484519974999766,0.02494587838893215,0.0052106497637368875,0.6943708221700867,0.09438751476883024,-8963.112000000001,1953.3708554112313,8870.522,1953.3708554112313
1.0,CS_LinUCB,5,86.6,0.8944271909999173,81175.4,365.3735075234642,4159.6,365.37350752346566,21.4,0.8944271909999161,0.020516370290806378,0.0017630929432329166,0.8018518518518519,0.008281733249999246,0.04000176638673745,0.003329841042094082,0.7594482712072246,0.0003928220196027947,-5675.183999999999,365.47636665043126,5582.594,365.47636665043126
1.0,CS_LinTS,5,97.0,9.82344135219425,66970.8,11564.797758715886,18364.2,11564.797758715888,11.0,9.82344135219425,0.023424186985930833,0.04190674201408405,0.8981481481481481,0.09095779029809489,0.04238974807477892,0.07396327180994083,0.653775496705817,0.26797474862519044,-19147.734,10655.106553734224,19055.144,10655.106553734224
1.0,CS_BootstrappedUCB,5,83.4,0.8944271909999173,84792.2,520.0934531408747,542.8,520.0934531408755,24.6,0.8944271909999161,0.1923497814934691,0.10182547478184623,0.7722222222222223,0.008281733249999262,0.2964481746706116,0.1335052887519235,0.7332542264645782,0.05552445436869516,-2944.04,111.09130479024886,2851.45,111.09130479024886
1.0,CS_BootstrappedTS,5,85.2,0.8366600265340762,83856.8,745.9180249866594,1478.2,745.9180249866603,22.8,0.8366600265340757,0.06303797212968125,0.022934275312377645,0.788888888888889,0.00774685209753773,0.11584835835145657,0.03976488787906127,0.7530049674707466,0.008235766085654487,-3185.7560000000003,404.61506500623534,3093.166,404.61506500623534
1.0,LM_EpsilonGreedy,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-10415.164,1637.0225251443549,10322.574,1637.0225251443549
1.0,LM_LinUCB,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-3056.434,408.34429980103835,2963.844,408.34429980103835
1.0,LM_LinTS,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-5834.352000000001,3384.860572648451,5741.762000000001,3384.860572648451
1.0,LM_BootstrappedUCB,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-5462.2880000000005,871.5198450809941,5369.697999999999,871.5198450809941
1.0,LM_BootstrappedTS,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-5226.9,1534.9225598869805,5134.3099999999995,1534.9225598869798
