policy,conversion_type,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
CS_EpsilonGreedy,Cost-Sensitive,42,78,81029,4306,30,0.017791970802919707,0.7222222222222222,0.034728406055209264,0.758869450281395,-46906.369999999995,46315.659999999996
CS_EpsilonGreedy,Cost-Sensitive,43,84,80973,4362,24,0.018893387314439947,0.7777777777777778,0.03689064558629777,0.7601233404141353,-46997.509999999995,46406.799999999996
CS_EpsilonGreedy,Cost-Sensitive,44,78,80993,4342,30,0.01764705882352941,0.7222222222222222,0.03445229681978798,0.7523440072458265,-48399.659999999996,47808.95
CS_EpsilonGreedy,Cost-Sensitive,45,79,81124,4211,29,0.018414918414918414,0.7314814814814815,0.035925420645748066,0.7556360894456762,-46144.24999999999,45553.53999999999
CS_EpsilonGreedy,Cost-Sensitive,46,81,81089,4246,27,0.01871966720591634,0.75,0.03652762119503946,0.7508855304228096,-45888.36,45297.65
CS_LinUCB,Cost-Sensitive,42,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7528263154921834,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Cost-Sensitive,43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Cost-Sensitive,44,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Cost-Sensitive,45,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinUCB,Cost-Sensitive,46,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
CS_LinTS,Cost-Sensitive,42,83,85323,12,25,0.8736842105263158,0.7685185185185185,0.8177339901477831,0.75987963919568,-3489.7000000000003,2898.9900000000002
CS_LinTS,Cost-Sensitive,43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7584378181938951,-3509.7000000000003,2918.9900000000002
CS_LinTS,Cost-Sensitive,44,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7595360477120059,-3479.7000000000003,2888.9900000000002
CS_LinTS,Cost-Sensitive,45,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7596649251766117,-3479.7000000000003,2888.9900000000002
CS_LinTS,Cost-Sensitive,46,83,85322,13,25,0.8645833333333334,0.7685185185185185,0.8137254901960784,0.7585470006304109,-3499.7000000000003,2908.9900000000002
CS_BootstrappedUCB,Cost-Sensitive,42,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7540176662266206,-3469.7000000000003,2878.9900000000002
CS_BootstrappedUCB,Cost-Sensitive,43,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.755138411150066,-3469.7000000000003,2878.9900000000002
CS_BootstrappedUCB,Cost-Sensitive,44,82,85327,8,26,0.9111111111111111,0.7592592592592593,0.8282828282828282,0.7522977317859112,-3764.29,3173.58
CS_BootstrappedUCB,Cost-Sensitive,45,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7548340478130987,-3469.7000000000003,2878.9900000000002
CS_BootstrappedUCB,Cost-Sensitive,46,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7570420423808666,-3469.7000000000003,2878.9900000000002
CS_BootstrappedTS,Cost-Sensitive,42,80,85300,35,28,0.6956521739130435,0.7407407407407407,0.7174887892376681,0.7368520026613431,-4692.94,4102.23
CS_BootstrappedTS,Cost-Sensitive,43,80,85326,9,28,0.898876404494382,0.7407407407407407,0.8121827411167513,0.7562834533921804,-4121.76,3531.05
CS_BootstrappedTS,Cost-Sensitive,44,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7583735333699129,-3469.7000000000003,2878.9900000000002
CS_BootstrappedTS,Cost-Sensitive,45,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7539305466114318,-3599.7000000000003,3008.9900000000002
CS_BootstrappedTS,Cost-Sensitive,46,81,85326,9,27,0.9,0.75,0.8181818181818182,0.7584938384855358,-3765.29,3174.58
LM_EpsilonGreedy,0/1 Label-Matching,42,68,81092,4243,40,0.01577360241243331,0.6296296296296297,0.030776193708983934,0.5437671699724378,-51524.670000000006,50933.96000000001
LM_EpsilonGreedy,0/1 Label-Matching,43,75,80954,4381,33,0.016831238779174147,0.6944444444444444,0.03286590709903593,0.49076724263037547,-50190.92,49600.21
LM_EpsilonGreedy,0/1 Label-Matching,44,68,80990,4345,40,0.015409018808067075,0.6296296296296297,0.0300818403008184,0.5375801065232355,-49585.7,48994.99
LM_EpsilonGreedy,0/1 Label-Matching,45,78,81173,4162,30,0.01839622641509434,0.7222222222222222,0.035878564857405704,0.5643510623398821,-46453.02,45862.31
LM_EpsilonGreedy,0/1 Label-Matching,46,59,81113,4222,49,0.013781826676010278,0.5462962962962963,0.02688539530644794,0.5303163864054591,-49630.51,49039.8
LM_LinUCB,0/1 Label-Matching,42,81,85317,18,27,0.8181818181818182,0.75,0.7826086956521738,0.7732316573031277,-3647.48,3056.77
LM_LinUCB,0/1 Label-Matching,43,75,85318,17,33,0.8152173913043478,0.6944444444444444,0.7499999999999999,0.7398554740056542,-4334.7699999999995,3744.0599999999995
LM_LinUCB,0/1 Label-Matching,44,81,85314,21,27,0.7941176470588235,0.75,0.7714285714285715,0.7735736999357431,-3677.48,3086.77
LM_LinUCB,0/1 Label-Matching,45,82,85315,20,26,0.803921568627451,0.7592592592592593,0.780952380952381,0.7766427431917476,-3676.7200000000003,3086.01
LM_LinUCB,0/1 Label-Matching,46,77,85316,19,31,0.8020833333333334,0.7129629629629629,0.7549019607843137,0.7613292337833492,-4364.72,3774.01
LM_LinTS,0/1 Label-Matching,42,75,85327,8,33,0.9036144578313253,0.6944444444444444,0.7853403141361257,0.741183434143485,-5075.69,4484.98
LM_LinTS,0/1 Label-Matching,43,61,85327,8,47,0.8840579710144928,0.5648148148148148,0.6892655367231638,0.6809056943193742,-10057.12,9466.410000000002
LM_LinTS,0/1 Label-Matching,44,82,85319,16,26,0.8367346938775511,0.7592592592592593,0.796116504854369,0.7807195796861393,-3796.0900000000006,3205.3800000000006
LM_LinTS,0/1 Label-Matching,45,81,85320,15,27,0.84375,0.75,0.7941176470588235,0.7897659871048368,-3814.8400000000006,3224.1300000000006
LM_LinTS,0/1 Label-Matching,46,55,85327,8,53,0.873015873015873,0.5092592592592593,0.6432748538011696,0.7145231671483784,-10109.02,9518.310000000001
LM_BootstrappedUCB,0/1 Label-Matching,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6596647699273251,-5768.7300000000005,5178.02
LM_BootstrappedUCB,0/1 Label-Matching,43,74,85327,8,34,0.9024390243902439,0.6851851851851852,0.7789473684210526,0.6705432004938066,-5472.96,4882.25
LM_BootstrappedUCB,0/1 Label-Matching,44,75,85330,5,33,0.9375,0.6944444444444444,0.7978723404255319,0.6859456868713617,-5617.750000000001,5027.040000000001
LM_BootstrappedUCB,0/1 Label-Matching,45,69,85330,5,39,0.9324324324324325,0.6388888888888888,0.7582417582417582,0.6347563825781797,-7529.86,6939.15
LM_BootstrappedUCB,0/1 Label-Matching,46,73,85333,2,35,0.9733333333333334,0.6759259259259259,0.7978142076502733,0.6703086570014354,-6414.14,5823.43
LM_BootstrappedTS,0/1 Label-Matching,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6464169507475532,-4214.82,3624.1099999999997
LM_BootstrappedTS,0/1 Label-Matching,43,74,85329,6,34,0.925,0.6851851851851852,0.7872340425531915,0.6632043399764364,-5353.37,4762.66
LM_BootstrappedTS,0/1 Label-Matching,44,77,85330,5,31,0.9390243902439024,0.7129629629629629,0.8105263157894737,0.6776120783522122,-5039.74,4449.03
LM_BootstrappedTS,0/1 Label-Matching,45,69,85327,8,39,0.8961038961038961,0.6388888888888888,0.7459459459459459,0.6356066265862629,-7768.54,7177.83
LM_BootstrappedTS,0/1 Label-Matching,46,70,85328,7,38,0.9090909090909091,0.6481481481481481,0.7567567567567568,0.6222844759665473,-7295.03,6704.32
LogisticRegression,Supervised Learning (dynamic),,44,71801,13534,64,0.00324053616143762,0.4074074074074074,0.006429928393979249,0.7470716926962336,-136071.69999999998,135480.99
LogisticRegression,Supervised Learning (flat 0.5),,98,80628,4707,10,0.020395421436004164,0.9074074074074074,0.03989415835538368,0.7470716926962336,-50147.04,49556.33
RandomForest,Supervised Learning (dynamic),42,40,84909,426,68,0.08583690987124463,0.37037037037037035,0.13937282229965156,0.8265550880002713,-5190.9800000000005,4600.27
RandomForest,Supervised Learning (dynamic),43,38,84893,442,70,0.07916666666666666,0.35185185185185186,0.1292517006802721,0.8212756300304096,-6438.670000000001,5847.960000000001
RandomForest,Supervised Learning (dynamic),44,39,84912,423,69,0.08441558441558442,0.3611111111111111,0.1368421052631579,0.8224522167317802,-6247.97,5657.26
RandomForest,Supervised Learning (dynamic),45,39,84883,452,69,0.07942973523421588,0.3611111111111111,0.1302170283806344,0.8227703166768275,-6537.97,5947.26
RandomForest,Supervised Learning (dynamic),46,40,84873,462,68,0.0796812749003984,0.37037037037037035,0.13114754098360656,0.8182096793056296,-5550.9800000000005,4960.27
RandomForest,Supervised Learning (flat 0.5),42,79,85334,1,29,0.9875,0.7314814814814815,0.8404255319148937,0.8265550880002713,-5145.4400000000005,4554.7300000000005
RandomForest,Supervised Learning (flat 0.5),43,79,85334,1,29,0.9875,0.7314814814814815,0.8404255319148937,0.8212756300304096,-4906.870000000001,4316.160000000001
RandomForest,Supervised Learning (flat 0.5),44,79,85334,1,29,0.9875,0.7314814814814815,0.8404255319148937,0.8224522167317802,-5145.4400000000005,4554.7300000000005
RandomForest,Supervised Learning (flat 0.5),45,77,85334,1,31,0.9871794871794872,0.7129629629629629,0.8279569892473119,0.8227703166768275,-5135.73,4545.0199999999995
RandomForest,Supervised Learning (flat 0.5),46,80,85334,1,28,0.9876543209876543,0.7407407407407407,0.8465608465608465,0.8182096793056296,-5154.68,4563.97
XGBoost,Supervised Learning (dynamic),,37,85263,72,71,0.3394495412844037,0.3425925925925926,0.34101382488479265,0.7990362537074601,-3313.1800000000003,2722.4700000000003
XGBoost,Supervised Learning (flat 0.5),,81,85320,15,27,0.84375,0.75,0.7941176470588235,0.7990362537074601,-4980.09,4389.38
